abs_word_idx,timestamp_s,packet_num,frame_length,passed_valid
156173,0.019521625,5,250,1
156423,0.019552875,6,248,1
156671,0.019583875,7,250,1
156921,0.019615125,0,250,1
157171,0.019646375,1,250,1
157421,0.019677625,2,250,1
157671,0.019708875,3,250,1
157921,0.019740125,4,250,1
158171,0.019771375,5,250,1
158421,0.019802625,6,250,1
158671,0.019833875,7,250,1
158921,0.019865125,0,250,1
159171,0.019896375,1,250,1
159421,0.019927625,2,250,1
159671,0.019958875,3,250,1
159921,0.019990125,4,250,1
160171,0.020021375,5,250,1
160421,0.020052625,6,250,1
160671,0.020083875,7,250,1
160921,0.020115125,0,250,1
161171,0.020146375,1,248,1
161419,0.020177375,2,250,1
161669,0.020208625,3,250,1
161919,0.020239875,4,250,1
162169,0.020271125,5,250,1
162419,0.020302375,6,250,1
162669,0.020333625,7,250,1
162919,0.020364875,0,250,1
163169,0.020396125,1,250,1
163419,0.020427375,2,250,1
163669,0.020458625,3,250,1
163919,0.020489875,4,250,1
164169,0.020521125,5,250,1
164419,0.020552375,6,250,1
164669,0.020583625,7,250,1
164919,0.020614875,0,250,1
165169,0.020646125,1,250,1
165419,0.020677375,2,250,1
165669,0.020708625,3,250,1
165919,0.020739875,4,248,1
166167,0.020770875,5,250,1
166417,0.020802125,6,250,1
166667,0.020833375,7,250,1
166917,0.020864625,0,250,1
167167,0.020895875,1,250,1
167417,0.020927125,2,250,1
167667,0.020958375,3,250,1
167917,0.020989625,4,250,1
168167,0.021020875,5,250,1
168417,0.021052125,6,250,1
168667,0.021083375,7,250,1
168917,0.021114625,0,250,1
169167,0.021145875,1,250,1
169417,0.021177125,2,250,1
169667,0.021208375,3,250,1
169917,0.021239625,4,250,1
170167,0.021270875,5,250,1
170417,0.021302125,6,250,1
170667,0.021333375,7,250,1
170917,0.021364625,0,248,1
171165,0.021395625,1,250,1
171415,0.021426875,2,250,1
171665,0.021458125,3,250,1
171915,0.021489375,4,250,1
172165,0.021520625,5,250,1
172415,0.021551875,6,250,1
172665,0.021583125,7,250,1
172915,0.021614375,0,250,1
173165,0.021645625,1,250,1
173415,0.021676875,2,250,1
173665,0.021708125,3,250,1
173915,0.021739375,4,250,1
174165,0.021770625,5,250,1
174415,0.021801875,6,250,1
174665,0.021833125,7,250,1
174915,0.021864375,0,250,1
175165,0.021895625,1,250,1
175415,0.021926875,2,250,1
175665,0.021958125,3,248,1
175913,0.021989125,4,250,1
176163,0.022020375,5,250,1
176413,0.022051625,6,250,1
176663,0.022082875,7,250,1
176913,0.022114125,0,250,1
177163,0.022145375,1,250,1
177413,0.022176625,2,250,1
177663,0.022207875,3,250,1
177913,0.022239125,4,250,1
178163,0.022270375,5,250,1
178413,0.022301625,6,250,1
178663,0.022332875,7,250,1
178913,0.022364125,0,250,1
179163,0.022395375,1,250,1
179413,0.022426625,2,250,1
179663,0.022457875,3,250,1
179913,0.022489125,4,250,1
180163,0.022520375,5,250,1
180413,0.022551625,6,248,1
180661,0.022582625,7,250,1
180911,0.022613875,0,250,1
181161,0.022645125,1,250,1
181411,0.022676375,2,250,1
181661,0.022707625,3,250,1
181911,0.022738875,4,250,1
182161,0.022770125,5,250,1
182411,0.022801375,6,250,1
182661,0.022832625,7,250,1
182911,0.022863875,0,250,1
183161,0.022895125,1,250,1
183411,0.022926375,2,250,1
183661,0.022957625,3,250,1
